age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,technician,married,tertiary,no,6917,yes,no,cellular,29,nov,266,2,-1,0,unknown,yes
47,admin.,married,tertiary,no,2021,yes,yes,cellular,4,may,47,7,-1,0,unknown,yes
25,blue-collar,single,secondary,no,1855,yes,no,cellular,9,may,120,2,822,0,unknown,no
33,blue-collar,married,tertiary,no,8622,yes,no,cellular,10,nov,191,2,-1,0,unknown,yes
38,student,married,tertiary,no,2759,yes,no,telephone,18,may,188,1,-1,0,unknown,no
61,entrepreneur,single,secondary,no,9478,yes,no,unknown,15,dec,74,1,-1,2,unknown,yes
53,technician,married,tertiary,no,2817,no,no,cellular,12,feb,7,2,514,0,unknown,no
37,blue-collar,divorced,primary,no,-1684,no,no,cellular,1,may,42,1,858,1,unknown,no
47,technician,married,primary,no,893,yes,yes,telephone,19,may,276,1,-1,0,unknown,yes
42,technician,single,tertiary,no,2361,no,no,cellular,27,may,4,17,-1,0,unknown,no
29,blue-collar,married,secondary,no,2258,yes,no,cellular,4,may,399,4,-1,1,unknown,yes
31,blue-collar,married,secondary,no,-8019,yes,no,cellular,31,nov,228,2,-1,0,unknown,yes
29,technician,married,secondary,no,-5439,yes,yes,cellular,9,aug,249,1,-1,0,other,yes
39,management,married,secondary,no,216,no,no,telephone,28,aug,324,1,-1,0,unknown,yes
41,management,married,secondary,no,5667,yes,no,telephone,29,may,114,1,-1,0,unknown,yes
22,management,married,tertiary,no,-595,yes,no,telephone,5,may,32,1,-1,0,unknown,no
50,services,married,tertiary,no,4843,no,no,cellular,15,sep,85,1,794,0,unknown,no
40,blue-collar,married,secondary,no,3687,yes,no,cellular,30,sep,143,1,-1,0,unknown,no
38,technician,married,secondary,no,3891,yes,no,telephone,17,may,650,1,-1,0,unknown,yes
36,technician,divorced,tertiary,no,1199,yes,no,cellular,14,nov,136,1,-1,0,unknown,no
55,management,married,primary,no,1297,yes,yes,cellular,28,jul,104,1,645,0,unknown,no
38,retired,divorced,primary,no,-22,yes,no,unknown,30,jul,544,4,-1,0,unknown,yes
38,admin.,married,secondary,no,2681,no,no,telephone,27,jul,236,1,-1,0,unknown,yes
